,DATE,FPCPITOTLZGZAF
0,1960-01-01,1.28885903549378
1,1961-01-01,2.10237396324093
2,1962-01-01,1.24628537807019
3,1963-01-01,1.33796971443196
4,1964-01-01,2.53497284090203
5,1965-01-01,4.06902873532948
6,1966-01-01,3.48923368982036
7,1967-01-01,3.5389915328063
8,1968-01-01,1.98613552880713
9,1969-01-01,3.23822451961745
10,1970-01-01,4.99187711721287
11,1971-01-01,5.95739773780426
12,1972-01-01,6.42570844638618
13,1973-01-01,9.43398734926114
14,1974-01-01,11.7241259217023
15,1975-01-01,13.4259418678705
16,1976-01-01,11.0203906361099
17,1977-01-01,11.1519640869289
18,1978-01-01,11.1356076531847
19,1979-01-01,13.2936586533207
20,1980-01-01,13.6602406858852
21,1981-01-01,15.2542442656564
22,1982-01-01,14.6390324191598
23,1983-01-01,12.3032071438235
24,1984-01-01,11.5264813036766
25,1985-01-01,16.2942269399101
26,1986-01-01,18.6549189263064
27,1987-01-01,16.1605814426616
28,1988-01-01,12.7795448229904
29,1989-01-01,14.730918284745
30,1990-01-01,14.3209557277219
31,1991-01-01,15.334802353322
32,1992-01-01,13.8746803836057
33,1993-01-01,9.71746732988991
34,1994-01-01,8.93852493545717
35,1995-01-01,8.6804442262446
36,1996-01-01,7.3541133870696
37,1997-01-01,8.59778263173684
38,1998-01-01,6.88054637817292
39,1999-01-01,5.1814927974787
40,2000-01-01,5.33895102929217
41,2001-01-01,5.70190018305716
42,2002-01-01,9.49471070324861
43,2003-01-01,5.67941771099109
44,2004-01-01,-0.692030271024119
45,2005-01-01,2.0628461650463
46,2006-01-01,3.24390776468061
47,2007-01-01,6.17780683499413
48,2008-01-01,10.0745755249181
49,2009-01-01,7.21531413612565
50,2010-01-01,4.08972989470472
51,2011-01-01,4.99926696965254
52,2012-01-01,5.72465791678303
53,2013-01-01,5.78446909667191
54,2014-01-01,6.12983770287145
55,2015-01-01,4.54064227737914
56,2016-01-01,6.57139642173959
57,2017-01-01,5.18424664766131
58,2018-01-01,4.51716522786587
59,2019-01-01,4.12024587014984
60,2020-01-01,3.21003597454107
61,2021-01-01,4.61167217803201
62,2022-01-01,7.03972661255875
